TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTrans
08-moctezuma	07-juarez	1	0.0
12-rio_escondido	16-monterrey	2	0.0
26-salamanca	23-guadalajara	2	0.0
42-merida	43-cancun	3	296.060843
33-veracruz	36-temascal	1	0.0
39-grijalva	38-tabasco	4	0.0
18-valles	19-huasteca	4	0.0
19-huasteca	18-valles	1	0.0
11-laguna	17-saltillo	3	104.448296
34-puebla	35-acapulco	2	0.0
29-lazaro_cardenas	35-acapulco	2	0.0
41-lerma	44-chetumal	1	173.83481454
01-hermosillo	02-cananea	4	0.0
24-aguascalientes	26-salamanca	1	0.0
09-chihuahua	11-laguna	2	0.0
06-mazatlan	22-tepic	3	0.0
19-huasteca	32-poza_rica	1	0.0
39-grijalva	38-tabasco	3	300.0
47-ensenada	46-tijuana	4	52.6173000199999
31-central	29-lazaro_cardenas	1	141.0901346
30-queretaro	25-san_luis_potosi	4	681.2750634
10-durango	11-laguna	3	1200.0
